0,1
1,1.94
2,2.96
3,3.89
4,4.95
5,5.93
6,6.89
7,7.78
8,8.77
9,9.9
10,10.84
11,11.86
12,12.99
13,13.79
14,14.65
15,16.04
16,17.03
17,18.09
18,18.65
19,19.81
20,21.04
21,21.68
22,23.03
23,23.74
24,25.21
25,25.99
26,26.78
27,27.6
28,29.32
29,30.22
30,31.14
31,32.09
32,33.08
33,34.09
34,35.13
35,36.21
36,37.32
37,38.46
38,39.64
39,40.85
40,42.1
41,43.39
42,44.72
43,46.09
44,47.5
45,48.96
46,50.46
47,52
48,53.59
49,55.23
50,56.93
51,58.67
52,60.47
53,62.32
54,64.23
55,66.19
56,68.22
57,70.31
58,72.46
59,74.68
60,76.97
61,79.32
62,81.75
63,84.26
64,86.84
65,89.5
66,92.24
67,95.06
68,97.97
69,100.97
70,104.06
71,107.25
72,110.53
73,113.92
74,117.41
75,121
76,124.71
77,128.53
78,132.46
79,136.52
80,140.7
81,145.01
82,149.45
83,154.02
84,158.74
85,163.6
86,168.61
87,173.77
88,179.1
89,184.58
90,190.23
91,196.06
92,202.06
93,208.25
94,214.62
95,221.2
96,227.97
97,234.95
98,242.15
99,249.56
100,257.2
101,265.08
102,273.2
103,281.56
104,290.18
105,299.07
106,308.23
107,317.67
108,327.39
109,337.42
110,347.75
111,358.4
112,369.38
113,380.69
114,392.34
115,404.36
116,416.74
117,429.5
118,442.65
119,456.21
120,470.18
121,484.58
122,499.41
123,514.71
124,530.47
125,546.71
126,563.45
127,580.71
128,598.49
129,616.82
130,635.71
131,655.17
132,675.23
133,695.91
134,717.22
135,739.18
136,761.82
137,785.15
138,809.19
139,833.97
140,859.51
141,885.83
142,912.95
143,940.91
144,969.72
145,999.41
146,1030.02
147,1061.56
148,1094.07
149,1127.57
150,1162.1
151,1197.68
152,99999
153,NaN
